Scheduler	Lambda	AvgST	AvgTA	TotalTP	CPU Util	Avg#ProcsInQ	Quantum
RR()	13.0	0.06	0.2	11.913	0.72	2.2	0.2
RR()	14.0	0.06	0.22	12.632	0.76	2.52	0.2
RR()	15.0	0.06	0.24	13.6	0.8	3.02	0.2
RR()	16.0	0.06	0.38	14.043	0.84	5.2	0.2
RR()	17.0	0.06	0.45	14.592	0.88	6.03	0.2
RR()	18.0	0.06	0.48	14.828	0.91	6.61	0.2
RR()	19.0	0.06	0.62	15.306	0.92	8.97	0.2
RR()	20.0	0.06	0.63	15.71	0.92	9.37	0.2
RR()	21.0	0.06	0.76	15.454	0.94	11.09	0.2
RR()	22.0	0.06	0.91	16.044	0.95	13.65	0.2
RR()	23.0	0.06	1.1	15.75	0.95	16.37	0.2
RR()	24.0	0.06	1.22	16.03	0.96	18.66	0.2
RR()	25.0	0.06	1.29	15.881	0.96	19.49	0.2
RR()	26.0	0.06	1.61	16.151	0.97	24.95	0.2
RR()	27.0	0.06	1.43	16.041	0.97	21.73	0.2
RR()	28.0	0.06	1.54	16.018	0.97	23.78	0.2
RR()	29.0	0.06	1.9	16.228	0.97	30.03	0.2
RR()	30.0	0.06	2.39	16.247	0.97	38.16	0.2
